reporting_level,province/territory,region,indicator,metric,data_year,unit_of_measurement,indicator_result,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27
Regional,Manitoba,Interlake�Eastern Regional Health Authority,Knee Replacement,90th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Interlake�Eastern Regional Health Authority,Knee Replacement,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Southern Health � Sant� Sud,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,4.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Southern Health � Sant� Sud,Knee Replacement,50th Percentile,2019.0,Days,405.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Southern Health � Sant� Sud,Knee Replacement,90th Percentile,2019.0,Days,727.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Southern Health � Sant� Sud,Knee Replacement,Volume,2019.0,Number of cases,141.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Prairie Mountain Health,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,29.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Prairie Mountain Health,Knee Replacement,50th Percentile,2019.0,Days,354.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Prairie Mountain Health,Knee Replacement,90th Percentile,2019.0,Days,456.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Prairie Mountain Health,Knee Replacement,Volume,2019.0,Number of cases,200.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Northern Health Region,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Northern Health Region,Knee Replacement,50th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Northern Health Region,Knee Replacement,90th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Northern Health Region,Knee Replacement,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Winnipeg Regional Health Authority,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,55.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Winnipeg Regional Health Authority,Knee Replacement,50th Percentile,2019.0,Days,170.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Winnipeg Regional Health Authority,Knee Replacement,90th Percentile,2019.0,Days,361.0,,,,,,,,,,,,,,,,,,,,
Regional,Manitoba,Winnipeg Regional Health Authority,Knee Replacement,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Lung Cancer Surgery,50th Percentile,2019.0,Days,34.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Lung Cancer Surgery,90th Percentile,2019.0,Days,58.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Lung Cancer Surgery,Volume,2019.0,Number of cases,163.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,MRI Scan,50th Percentile,2019.0,Days,55.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,MRI Scan,90th Percentile,2019.0,Days,133.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,MRI Scan,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Prostate Cancer Surgery,50th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Prostate Cancer Surgery,90th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Prostate Cancer Surgery,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Radiation Therapy,% Meeting Benchmark,2019.0,Proportion,100.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Radiation Therapy,50th Percentile,2019.0,Days,9.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Radiation Therapy,90th Percentile,2019.0,Days,26.0,,,,,,,,,,,,,,,,,,,,
Provincial,Manitoba,,Radiation Therapy,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Bladder Cancer Surgery,50th Percentile,2019.0,Days,25.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Bladder Cancer Surgery,90th Percentile,2019.0,Days,73.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Bladder Cancer Surgery,Volume,2019.0,Number of cases,251.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Breast Cancer Surgery,50th Percentile,2019.0,Days,20.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Breast Cancer Surgery,90th Percentile,2019.0,Days,48.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Breast Cancer Surgery,Volume,2019.0,Number of cases,333.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CABG,50th Percentile,2019.0,Days,8.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CABG,90th Percentile,2019.0,Days,148.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CABG,Volume,2019.0,Number of cases,215.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Cataract surgery,% Meeting Benchmark,2019.0,Proportion,66.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Cataract surgery,50th Percentile,2019.0,Days,70.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Cataract surgery,90th Percentile,2019.0,Days,226.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Cataract surgery,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Colorectal Cancer Surgery,50th Percentile,2019.0,Days,22.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Colorectal Cancer Surgery,90th Percentile,2019.0,Days,48.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Colorectal Cancer Surgery,Volume,2019.0,Number of cases,212.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CT Scan,50th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CT Scan,90th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,CT Scan,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair,% Meeting Benchmark,2019.0,Proportion,89.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair,50th Percentile,2019.0,Hours,18.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair,90th Percentile,2019.0,Hours,49.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair,Volume,2019.0,Number of cases,436.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,48.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Replacement,50th Percentile,2019.0,Days,195.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Replacement,90th Percentile,2019.0,Days,378.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Hip Replacement,Volume,2019.0,Number of cases,532.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Horizon Health Network,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,36.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Horizon Health Network,Hip Replacement,50th Percentile,2019.0,Days,237.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Horizon Health Network,Hip Replacement,90th Percentile,2019.0,Days,411.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Horizon Health Network,Hip Replacement,Volume,2019.0,Number of cases,349.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Vitalit� Health Network,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,72.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Vitalit� Health Network,Hip Replacement,50th Percentile,2019.0,Days,114.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Vitalit� Health Network,Hip Replacement,90th Percentile,2019.0,Days,247.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Vitalit� Health Network,Hip Replacement,Volume,2019.0,Number of cases,183.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,44.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Knee Replacement,50th Percentile,2019.0,Days,197.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Knee Replacement,90th Percentile,2019.0,Days,485.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Knee Replacement,Volume,2019.0,Number of cases,938.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Horizon Health Network,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,32.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Horizon Health Network,Knee Replacement,50th Percentile,2019.0,Days,273.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Horizon Health Network,Knee Replacement,90th Percentile,2019.0,Days,584.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Horizon Health Network,Knee Replacement,Volume,2019.0,Number of cases,605.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Vitalit� Health Network,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,67.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Vitalit� Health Network,Knee Replacement,50th Percentile,2019.0,Days,144.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Vitalit� Health Network,Knee Replacement,90th Percentile,2019.0,Days,302.0,,,,,,,,,,,,,,,,,,,,
Regional,New Brunswick,Vitalit� Health Network,Knee Replacement,Volume,2019.0,Number of cases,333.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Lung Cancer Surgery,50th Percentile,2019.0,Days,33.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Lung Cancer Surgery,90th Percentile,2019.0,Days,67.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Lung Cancer Surgery,Volume,2019.0,Number of cases,71.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,MRI Scan,50th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,MRI Scan,90th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,MRI Scan,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Prostate Cancer Surgery,50th Percentile,2019.0,Days,31.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Prostate Cancer Surgery,90th Percentile,2019.0,Days,71.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Prostate Cancer Surgery,Volume,2019.0,Number of cases,84.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Radiation Therapy,% Meeting Benchmark,2019.0,Proportion,93.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Radiation Therapy,50th Percentile,2019.0,Days,12.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Radiation Therapy,90th Percentile,2019.0,Days,27.0,,,,,,,,,,,,,,,,,,,,
Provincial,New Brunswick,,Radiation Therapy,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,50th Percentile,2019.0,Days,21.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,90th Percentile,2019.0,Days,41.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,Volume,2019.0,Number of cases,108.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,50th Percentile,2019.0,Days,16.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,90th Percentile,2019.0,Days,35.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,Volume,2019.0,Number of cases,220.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,CABG,50th Percentile,2019.0,Days,9.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,CABG,90th Percentile,2019.0,Days,149.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,CABG,Volume,2019.0,Number of cases,182.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Cataract surgery,% Meeting Benchmark,2019.0,Proportion,63.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Cataract surgery,50th Percentile,2019.0,Days,95.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Cataract surgery,90th Percentile,2019.0,Days,209.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Cataract surgery,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,50th Percentile,2019.0,Days,15.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,90th Percentile,2019.0,Days,35.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,Volume,2019.0,Number of cases,177.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,CT Scan,50th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,CT Scan,90th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,CT Scan,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,% Meeting Benchmark,2019.0,Proportion,85.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,50th Percentile,2019.0,Hours,21.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,90th Percentile,2019.0,Hours,60.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,Volume,2019.0,Number of cases,247.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019.0,Proportion,98.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019.0,Hours,22.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019.0,Hours,37.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019.0,Number of cases,195.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,76.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Replacement,50th Percentile,2019.0,Days,113.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Replacement,90th Percentile,2019.0,Days,229.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Hip Replacement,Volume,2019.0,Number of cases,303.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,94.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Hip Replacement,50th Percentile,2019.0,Days,99.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Hip Replacement,90th Percentile,2019.0,Days,157.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Hip Replacement,Volume,2019.0,Number of cases,44.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,100.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Hip Replacement,50th Percentile,2019.0,Days,75.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Hip Replacement,90th Percentile,2019.0,Days,132.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Hip Replacement,Volume,2019.0,Number of cases,16.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,65.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Hip Replacement,50th Percentile,2019.0,Days,149.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Hip Replacement,90th Percentile,2019.0,Days,267.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Hip Replacement,Volume,2019.0,Number of cases,199.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,100.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Hip Replacement,50th Percentile,2019.0,Days,75.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Hip Replacement,90th Percentile,2019.0,Days,150.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Hip Replacement,Volume,2019.0,Number of cases,44.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,72.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Knee Replacement,50th Percentile,2019.0,Days,133.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Knee Replacement,90th Percentile,2019.0,Days,280.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Knee Replacement,Volume,2019.0,Number of cases,546.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,96.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Knee Replacement,50th Percentile,2019.0,Days,98.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Knee Replacement,90th Percentile,2019.0,Days,169.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Western Health,Knee Replacement,Volume,2019.0,Number of cases,95.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,94.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Knee Replacement,50th Percentile,2019.0,Days,90.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Knee Replacement,90th Percentile,2019.0,Days,139.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Labrador�Grenfell Health,Knee Replacement,Volume,2019.0,Number of cases,18.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,65.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Knee Replacement,50th Percentile,2019.0,Days,157.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Knee Replacement,90th Percentile,2019.0,Days,280.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Eastern Health,Knee Replacement,Volume,2019.0,Number of cases,301.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Knee Replacement,% Meeting Benchmark,2019.0,Proportion,69.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Knee Replacement,50th Percentile,2019.0,Days,124.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Knee Replacement,90th Percentile,2019.0,Days,320.0,,,,,,,,,,,,,,,,,,,,
Regional,Newfoundland and Labrador,Central Health,Knee Replacement,Volume,2019.0,Number of cases,132.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,50th Percentile,2019.0,Days,20.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,90th Percentile,2019.0,Days,41.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,Volume,2019.0,Number of cases,45.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,MRI Scan,50th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,MRI Scan,90th Percentile,2019.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,MRI Scan,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,50th Percentile,2019.0,Days,43.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,90th Percentile,2019.0,Days,62.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,Volume,2019.0,Number of cases,67.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Radiation Therapy,% Meeting Benchmark,2019.0,Proportion,100.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Radiation Therapy,50th Percentile,2019.0,Days,16.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Radiation Therapy,90th Percentile,2019.0,Days,22.0,,,,,,,,,,,,,,,,,,,,
Provincial,Newfoundland and Labrador,,Radiation Therapy,Volume,2019.0,Number of cases,515.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Bladder Cancer Surgery,50th Percentile,2019.0,Days,34.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Bladder Cancer Surgery,90th Percentile,2019.0,Days,80.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Bladder Cancer Surgery,Volume,2019.0,Number of cases,347.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Breast Cancer Surgery,50th Percentile,2019.0,Days,22.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Breast Cancer Surgery,90th Percentile,2019.0,Days,42.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Breast Cancer Surgery,Volume,2019.0,Number of cases,513.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CABG,50th Percentile,2019.0,Days,7.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CABG,90th Percentile,2019.0,Days,43.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CABG,Volume,2019.0,Number of cases,131.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Cataract surgery,% Meeting Benchmark,2019.0,Proportion,60.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Cataract surgery,50th Percentile,2019.0,Days,92.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Cataract surgery,90th Percentile,2019.0,Days,250.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Cataract surgery,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,50th Percentile,2019.0,Days,26.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,90th Percentile,2019.0,Days,51.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,Volume,2019.0,Number of cases,264.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CT Scan,50th Percentile,2019.0,Days,26.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CT Scan,90th Percentile,2019.0,Days,80.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,CT Scan,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair,% Meeting Benchmark,2019.0,Proportion,89.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair,50th Percentile,2019.0,Hours,20.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair,90th Percentile,2019.0,Hours,50.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair,Volume,2019.0,Number of cases,361.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,59.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Replacement,50th Percentile,2019.0,Days,158.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Replacement,90th Percentile,2019.0,Days,442.0,,,,,,,,,,,,,,,,,,,,
Provincial,Nova Scotia,,Hip Replacement,Volume,2019.0,Number of cases,798.0,,,,,,,,,,,,,,,,,,,,
Regional,Nova Scotia,Western Zone,Hip Replacement,% Meeting Benchmark,2019.0,Proportion,22.0,,,,,,,,,,,,,,,,,,,,
